order_id,txn_time_gmt7,service_group_name,service_name,payer_user_id,payer_user_type,payee_user_id,payee_user_type,amount,command_name,customer_id,merchant
1.80102E+22,2018-01-02 15:38:17 UTC,Fund-in,Fund-in - ATM,4,agent,6047,customer,95000,Payment,6047,
1.80102E+22,2018-01-02 22:10:54 UTC,Fund-in,Fund-in - ATM,4,agent,8000,customer,100000,Payment,8000,
1.80102E+22,2018-01-02 11:13:29 UTC,Fund-in,Fund-in - TPBank,13908,customer,13908,customer,100000,Payment,13908,
1.80102E+22,2018-01-02 20:18:25 UTC,Fund-in,Fund-in - TPBank,5,customer,5,customer,250000,Payment,5,
1.80102E+22,2018-01-02 17:04:26 UTC,Fund-in,Fund-in - Vietinbank,13335,customer,13335,customer,10000,Payment,13335,
1.80102E+22,2018-01-02 17:09:55 UTC,Fund-in,Fund-in - Vietinbank,13335,customer,13335,customer,3000000,Payment,13335,
1.80102E+22,2018-01-02 17:30:47 UTC,Fund-in,Fund-in - Vietinbank,13335,customer,13335,customer,10000000,Payment,13335,
1.80102E+22,2018-01-02 17:06:55 UTC,Fund-in,Fund-in - Vietinbank,13335,customer,13335,customer,1900000,Payment,13335,
1.80102E+22,2018-01-02 17:32:06 UTC,Fund-in,Fund-in - Vietinbank,13335,customer,13335,customer,1900000,Payment,13335,
1.80102E+22,2018-01-02 17:26:45 UTC,Fund-in,Fund-in - Vietinbank,4,customer,4,customer,1900000,Payment,4,
1.80102E+22,2018-01-02 18:02:55 UTC,Fund-out,Fund-out - Vietinbank,4,customer,4,customer,1500000,Payment,4,
1.80102E+22,2018-01-02 18:03:46 UTC,Fund-out,Fund-out - Vietinbank,4,customer,4,customer,400000,Payment,4,
1.80102E+22,2018-01-02 17:46:07 UTC,Fund-out,Fund-out - Vietinbank,4,customer,4,customer,20000,Payment,4,
1.80102E+22,2018-01-02 17:54:39 UTC,Fund-out,Fund-out - Vietinbank,13335,customer,13335,customer,3000000,Payment,13335,
1.80102E+22,2018-01-02 17:45:13 UTC,Fund-out,Fund-out - Vietinbank,13335,customer,13335,customer,50000,Payment,13335,
1.80102E+22,2018-01-02 22:14:03 UTC,TopUp,PIN Purchase - Viettel,8000,customer,5,agent,96500,Payment,8000,
1.80102E+22,2018-01-02 11:51:40 UTC,TopUp,PIN Purchase - Viettel,13908,customer,5,agent,96500,Payment,13908,
1.80102E+22,2018-01-02 18:25:24 UTC,TopUp,PIN Purchase - Viettel,13452,customer,5,agent,193000,Payment,13452,
1.80102E+22,2018-01-02 18:23:17 UTC,TopUp,PIN Purchase - Viettel,13452,customer,5,agent,193000,Payment,13452,
1.80102E+22,2018-01-02 10:32:44 UTC,TopUp,PIN Purchase - Viettel,227,customer,5,agent,48250,Payment,227,
1.80102E+22,2018-01-02 17:29:59 UTC,TopUp,PIN Purchase - Vinaphone,13827,customer,5,agent,9460,Payment,13827,
1.80102E+22,2018-01-02 15:43:01 UTC,TopUp,PIN Purchase - Vinaphone,2953,customer,5,agent,18920,Payment,2953,
1.80102E+22,2018-01-02 19:21:28 UTC,TopUp,PIN Purchase - Vinaphone,2953,customer,5,agent,9460,Payment,2953,
1.80102E+22,2018-01-02 14:53:21 UTC,TopUp,PIN Purchase - Vinaphone,5525,customer,5,agent,18920,Payment,5525,
1.80102E+22,2018-01-02 15:15:57 UTC,TopUp,PIN Purchase - Vinaphone,6047,customer,5,agent,47300,Payment,6047,
1.80102E+22,2018-01-02 15:38:35 UTC,TopUp,PIN Purchase - Vinaphone,6047,customer,5,agent,94600,Payment,6047,
1.80102E+22,2018-01-02 15:35:24 UTC,TopUp,PIN Purchase - Vinaphone,6047,customer,5,agent,47300,Payment,6047,
1.70922E+22,2017-09-23 01:52:38 UTC,Fund-in,Fund-in - ATM,4,agent,196,customer,300000,Payment,196,
1.70923E+22,2017-09-23 18:37:54 UTC,Virtual Card,Prepaid Card - Deduct,5,customer,2,agent,20000,Payment,5,GOOGLE
1.70923E+22,2017-09-23 18:36:48 UTC,Virtual Card,Prepaid Card - Deduct,5,customer,2,agent,20000,Payment,5,GOOGLE
1.70923E+22,2017-09-23 18:36:53 UTC,Virtual Card,Prepaid Card - Deduct,2,agent,5,customer,20000,Cancel,5,GOOGLE
1.70923E+22,2017-09-23 09:56:22 UTC,Virtual Card,Prepaid Card - Deduct,2,agent,5,customer,48500,Cancel,5,
1.70922E+22,2017-09-23 02:45:36 UTC,TopUp,PIN Purchase - Viettel,196,customer,5,agent,19300,Payment,196,
1.70923E+22,2017-09-23 08:31:26 UTC,TopUp,PIN Purchase - Viettel,46,customer,5,agent,48250,Payment,46,
1.70923E+22,2017-09-23 22:09:36 UTC,TopUp,PIN Purchase - Viettel,118,customer,5,agent,19300,Payment,118,
1.70923E+22,2017-09-23 14:23:47 UTC,TopUp,PIN Purchase - Mobifone,196,customer,5,agent,190000,Payment,196,
1.70923E+22,2017-09-23 14:44:40 UTC,Fund-in,Fund-in - TP Bank,5,customer,5,customer,10000,Payment,5,
1.70923E+22,2017-09-23 11:18:39 UTC,Fund-in,Fund-in - TP Bank,18,customer,18,customer,20000,Payment,18,
1.70923E+22,2017-09-23 12:35:17 UTC,Fund-out,Fund-out - TP Bank,38,customer,38,customer,20000,Payment,38,
1.70923E+22,2017-09-23 14:31:47 UTC,Fund-out,Fund-out - TP Bank,5,customer,5,customer,20000,Payment,5,
1.70923E+22,2017-09-23 12:42:11 UTC,Fund-out,Fund-out - TP Bank,3,customer,3,customer,20000,Payment,3,
