customer_id_fraud,order_id,txn_time_gmt7,service_group_name,service_name,payer_user_id,payer_user_type,payee_user_id,payee_user_type,amount,command_name,customer_id,merchant
28207.0,,,,,,,,,,,,
22198.0,,,,,,,,,,,,
27212.0,,,,,,,,,,,,
19457.0,,,,,,,,,,,,
28662.0,,,,,,,,,,,,
24848.0,,,,,,,,,,,,
17885.0,,,,,,,,,,,,
27270.0,,,,,,,,,,,,
26216.0,,,,,,,,,,,,
25470.0,,,,,,,,,,,,
26777.0,,,,,,,,,,,,
26402.0,,,,,,,,,,,,
26253.0,,,,,,,,,,,,
29839.0,,,,,,,,,,,,
25013.0,,,,,,,,,,,,
26374.0,,,,,,,,,,,,
19562.0,,,,,,,,,,,,
15711.0,,,,,,,,,,,,
24998.0,,,,,,,,,,,,
29158.0,,,,,,,,,,,,
30415.0,,,,,,,,,,,,
28076.0,,,,,,,,,,,,
24201.0,,,,,,,,,,,,
27320.0,,,,,,,,,,,,
21361.0,,,,,,,,,,,,
28831.0,,,,,,,,,,,,
27541.0,,,,,,,,,,,,
26474.0,,,,,,,,,,,,
26924.0,,,,,,,,,,,,
18053.0,,,,,,,,,,,,
27514.0,,,,,,,,,,,,
28669.0,,,,,,,,,,,,
16121.0,,,,,,,,,,,,
18908.0,,,,,,,,,,,,
29127.0,,,,,,,,,,,,
26220.0,,,,,,,,,,,,
31011.0,,,,,,,,,,,,
23582.0,,,,,,,,,,,,
26227.0,,,,,,,,,,,,
29637.0,,,,,,,,,,,,
27040.0,,,,,,,,,,,,
25248.0,,,,,,,,,,,,
24466.0,,,,,,,,,,,,
26804.0,,,,,,,,,,,,
26659.0,,,,,,,,,,,,
28181.0,,,,,,,,,,,,
22763.0,,,,,,,,,,,,
15991.0,,,,,,,,,,,,
26517.0,,,,,,,,,,,,
15582.0,,,,,,,,,,,,
23335.0,,,,,,,,,,,,
11291.0,,,,,,,,,,,,
26678.0,,,,,,,,,,,,
25932.0,,,,,,,,,,,,
40990.0,,,,,,,,,,,,
28014.0,,,,,,,,,,,,
32816.0,,,,,,,,,,,,
41207.0,,,,,,,,,,,,
38869.0,,,,,,,,,,,,
7224.0,,,,,,,,,,,,
29577.0,,,,,,,,,,,,
38095.0,,,,,,,,,,,,
42057.0,,,,,,,,,,,,
42201.0,,,,,,,,,,,,
42223.0,,,,,,,,,,,,
42279.0,,,,,,,,,,,,
42631.0,,,,,,,,,,,,
42892.0,,,,,,,,,,,,
25543.0,,,,,,,,,,,,
25710.0,,,,,,,,,,,,
27742.0,,,,,,,,,,,,
28128.0,,,,,,,,,,,,
29599.0,,,,,,,,,,,,
29875.0,,,,,,,,,,,,
41720.0,,,,,,,,,,,,
44947.0,,,,,,,,,,,,
45891.0,,,,,,,,,,,,
50943.0,,,,,,,,,,,,
47513.0,,,,,,,,,,,,
48413.0,,,,,,,,,,,,
48462.0,,,,,,,,,,,,
43428.0,,,,,,,,,,,,
46217.0,,,,,,,,,,,,
46963.0,,,,,,,,,,,,
51612.0,,,,,,,,,,,,
51640.0,,,,,,,,,,,,
51647.0,,,,,,,,,,,,
51648.0,,,,,,,,,,,,
51721.0,,,,,,,,,,,,
51767.0,,,,,,,,,,,,
51937.0,,,,,,,,,,,,
51959.0,,,,,,,,,,,,
115.0,,,,,,,,,,,,
17006.0,,,,,,,,,,,,
17046.0,,,,,,,,,,,,
17059.0,,,,,,,,,,,,
17098.0,,,,,,,,,,,,
17143.0,,,,,,,,,,,,
17144.0,,,,,,,,,,,,
17167.0,,,,,,,,,,,,
17255.0,,,,,,,,,,,,
17336.0,,,,,,,,,,,,
17493.0,,,,,,,,,,,,
17507.0,,,,,,,,,,,,
17514.0,,,,,,,,,,,,
17519.0,,,,,,,,,,,,
17532.0,,,,,,,,,,,,
17540.0,,,,,,,,,,,,
17542.0,,,,,,,,,,,,
17546.0,,,,,,,,,,,,
17587.0,,,,,,,,,,,,
